int_id,uniprot,name
0,A0A1W2PQS6,RPS10-NUDT3
1,A0AUZ9,KANSL1L
2,A0AV96,RBM47
3,A0AVT1,UBA6
4,A0FGR8,ESYT2
5,A0FGR9,ESYT3
6,A0JLT2,MED19
7,A0JNW5,UHRF1BP1L
8,A0MZ66,SHTN1
9,A0PK00,TMEM120B
10,A1A5B4,ANO9
11,A1A5C7,SLC22A23
12,A1A5D9,BICDL2
13,A1L0T0,ILVBL
14,A1L3X0,ELOVL7
15,A1L429,GAGE12B|GAGE12C|GAGE12D|GAGE12E
16,A1L4H1,SSC5D
17,A1XBS5,FAM92A
18,A1Z1Q3,MACROD2
19,A2RRD8,ZNF320
20,A2RRH5,WDR27
21,A2RRL7,TMEM213
22,A2RRP1,NBAS
23,A2RTX5,TARSL2
24,A2RU14,TMEM218
25,A2RU48,SMCO3
26,A2RU49,HYKK
27,A2RUC4,TYW5
28,A2VCK2,DCDC2B
29,A2VDF0,FUOM
30,A3KMH1,VWA8
31,A4D1E9,GTPBP10
32,A4D1P6,WDR91
33,A4D1U4,LCHN
34,A4D2B0,MBLAC1
35,A4FU01,MTMR11
36,A4QPB2,LRP5L
37,A4UGR9,XIRP2
38,A5D8T8,CLEC18A
39,A5D8V6,VPS37C
40,A5D8V7,CCDC151
41,A5PKW4,PSD
42,A5PL33,KRBA1
43,A5PLL7,TMEM189
44,A5YKK6,CNOT1
45,A5YM72,CARNS1
46,A6BM72,MEGF11
47,A6NC98,CCDC88B
48,A6NCF5,KLHL33
49,A6NCL1,GMNC
50,A6NDN3,GOLGA6B
51,A6NDV4,TMEM8B
52,A6NE52,WDR97
53,A6NED2,RCCD1
54,A6NER0,TBC1D3F
55,A6NGB9,WIPF3
56,A6NI79,CCDC69
57,A6NJ69,IGIP
58,A6NK44,GLOD5
59,A6NK53,ZNF233
60,A6NKD9,CCDC85C
61,A6NLU0,RFPL4A
62,A6PVS8,LRRIQ3
63,A7E2V4,ZSWIM8
64,A7KAX9,ARHGAP32
65,A7MCY6,TBKBP1
66,A7MD48,SRRM4
67,A7XYQ1,SOBP
68,A8CG34,POM121C
69,A8K0R7,ZNF839
70,A8K0Z3,WASHC1
71,A8MQ03,CYSRT1
72,A8MTZ0,BBIP1
73,A8MVW0,FAM171A2
74,A8MW92,PHF20L1
75,A8MZ97,C2ORF74
76,A9UHW6,MIF4GD
77,B2RD01,CENPBD1
78,B2RTY4,MYO9A
79,B2RUY7,VWC2L
80,B2RXH2,KDM4E
81,B5ME19,EIF3CL
82,C9J442,C22ORF46
83,D6RGH6,MCIDAS
84,E7ETH6,ZNF587B
85,E9PJI5,NPIPA7
86,H3BR10,SMLR1
87,O00115,DNASE2
88,O00116,AGPS
89,O00124,UBXN8
90,O00139,KIF2A
91,O00141,SGK1
