node_a,node_b
0,3727
1,6921
2,11336
2,11744
3,357
3,10288
3,1656
3,1916
3,2018
3,3468
3,3633
3,5162
3,5609
3,8233
4,5
4,7621
5,7621
6,10134
6,10247
6,414
6,10325
6,10346
6,10395
6,840
6,10445
6,2065
6,2066
6,2280
6,2312
6,2361
6,2387
6,2482
6,2654
6,10757
6,3134
6,3135
6,3393
6,3456
6,10860
6,4119
6,4503
6,4523
6,5128
6,5201
6,5407
6,11399
6,11401
6,6775
6,7030
6,11723
6,7138
6,7333
6,11806
6,7679
6,8055
6,8260
6,8443
6,11921
6,8675
6,11929
6,8860
6,11964
6,11991
6,9505
6,9547
7,3201
8,903
8,1419
8,3459
8,10941
8,11345
8,11738
8,9643
9,1044
10,3968
11,2307
11,10650
11,10834
11,5488
12,5218
13,692
13,1809
13,3201
13,6323
14,6990
15,11130
15,11561
15,7109
16,2663
16,3999
16,4119
16,5530
16,6990
16,11741
16,9369
16,9788
17,11647
17,12036
19,10831
19,10833
20,10030
20,1539
21,1936
21,2489
22,460
22,1159
22,5169
22,8953
23,9966
23,2331
24,1774
24,4962
24,6867
25,2832
25,8372
26,4528
26,11130
26,7109
28,10969
28,4876
28,11290
28,6135
28,6773
29,7338
30,11738
30,7338
31,3859
31,4876
31,5530
31,6214
32,178
32,10443
32,9331
32,9435
33,9780
35,357
36,3169
36,3510
37,898
37,923
38,11290
38,5316
38,5488
39,10242
39,302
39,351
39,647
39,10389
39,890
39,969
39,2307
39,2617
39,3266
39,3621
39,10925
39,3859
39,11004
39,4803
39,5169
39,11336
39,5725
39,6216
39,6643
39,6685
39,6773
39,7480
39,7500
39,7685
39,11953
39,9729
40,10323
40,628
40,5530
40,5991
40,7216
40,8165
40,11953
41,265
41,602
41,2230
41,6506
41,12038
42,3169
43,3387
44,760
44,1105
44,2318
44,2334
44,3042
44,6587
44,6654
44,7193
44,8364
44,8520
44,8842
44,9032
44,11971
44,12039
44,9269
45,4324
46,3203
47,2705
47,8299
48,5763
50,6713
51,10546
52,6793
53,5979
54,3438
55,145
56,2147
56,2307
56,8781
57,4081
59,177
60,11647
62,532
63,10546
63,3201
63,3203
64,532
64,1439
64,3201
64,3377
64,3406
64,3488
64,3490
64,10925
64,5694
64,11738
64,7469
64,7578
64,8769
65,4243
65,9070
66,177
67,4078
67,4929
68,2284
68,2759
68,3019
68,11649
69,3438
69,3494
69,8134
70,3917
70,4290
70,4702
71,177
71,11230
71,12050
72,7330
73,2307
73,4135
74,628
74,2324
74,6723
74,7782
74,8003
74,8720
75,11919
76,302
76,1073
76,2664
76,3298
76,11203
76,5020
76,8544
76,8626
76,9302
77,2705
77,5905
78,1651
78,10549
78,3377
79,2523
79,10969
81,389
81,3360
81,4237
82,4553
82,11290
83,823
84,357
85,5162
85,7702
86,7037
87,5905
88,7560
89,3240
90,5068
90,6229
90,6980
91,421
91,1040
91,1538
91,1707
91,2766
91,2860
91,7287
91,8638
91,9111
92,1076
92,2157
92,10799
92,3590
92,3791
92,3813
92,4189
92,4508
92,8093
92,8768
93,548
93,839
93,1569
93,1800
93,1858
93,10866
93,4638
93,4728
93,4815
94,1283
94,10546
94,10738
94,3201
94,10799
94,4135
94,11804
94,11919
94,11924
94,9308
94,12024
95,1674
95,11649
96,3655
96,3688
97,834
97,921
97,1020
97,1048
97,2537
97,2800
97,3057
97,3227
97,3937
97,4056
97,11036
97,4621
97,11369
97,5741
97,7711
97,8029
97,8769
97,8914
98,135
98,10471
98,1675
98,2358
98,2903
98,3096
98,3188
98,10823
98,3475
98,4033
98,4303
98,4648
98,6325
98,8139
98,11949
99,4496
99,6773
99,7221
100,943
100,10426
100,1508
100,1538
100,2626
100,4251
100,4447
100,4477
100,4598
100,11077
100,12087
100,5125
100,11434
100,11794
100,7804
100,8655
100,9513
100,9759
101,10341
101,10830
101,3506
101,4114
103,2681
105,10289
105,1383
105,1653
105,7162
105,9488
106,7339
107,830
107,1235
107,1414
107,1682
107,2065
107,2139
107,2333
107,2417
107,4152
107,4342
107,11212
107,5412
107,11635
107,8632
107,8909
107,11951
107,9749
108,2947
108,6409
109,1698
109,3839
110,10258
110,6646
110,9492
111,547
111,581
111,1877
111,3002
111,3020
111,7302
112,1739
112,2814
112,3345
112,3598
112,5124
112,11460
112,7485
112,7989
112,8436
112,8707
112,11963
112,9541
112,12088
113,1212
113,1338
113,1362
113,1383
113,10546
113,3201
113,3845
113,6116
113,6763
114,1846
114,2636
114,4016
114,4916
114,5632
114,11974
115,10384
115,793
115,821
115,1557
115,2995
115,3234
115,7673
115,9108
116,3040
116,4024
116,4356
117,758
117,1896
117,2084
117,3646
117,3760
117,3778
117,3830
117,5814
117,6529
117,9359
119,120
119,167
119,278
119,453
119,632
119,880
119,1358
119,1365
119,2026
119,2062
119,2113
119,2139
119,2305
119,2307
119,2333
119,2373
119,2376
119,2378
119,2631
119,2820
119,2911
119,2973
119,2974
119,3087
119,3202
119,3209
119,3232
119,3375
119,3417
119,3432
119,3433
119,3453
119,3514
119,3598
119,3646
119,3768
119,3794
119,4033
119,4098
119,4113
119,4196
119,4254
119,4401
119,4419
119,4454
119,4553
119,4554
119,4575
119,4915
119,4946
119,5008
119,11284
119,5449
119,7105
119,7188
119,7397
119,7401
119,7456
119,7949
119,8228
119,8437
119,11943
119,11985
119,9334
119,9547
119,9661
120,167
120,278
120,453
120,880
120,2026
120,2113
120,2305
120,2306
120,2308
120,2373
120,2376
120,2377
120,2378
120,2631
120,2820
120,2911
120,2973
120,2974
120,3087
120,3209
120,3232
120,3360
120,3375
120,3432
120,3433
120,3453
120,4033
120,4401
120,4575
120,4586
120,5040
120,11649
120,7397
120,7401
120,9334
120,9604
120,9661
121,579
121,1622
121,2026
121,3453
121,11477
121,6135
121,6281
121,6336
121,7148
121,8372
121,11940
122,3088
122,3384
122,3387
122,3437
122,3468
122,6858
122,7202
122,8233
122,9508
123,212
123,338
123,10327
123,806
123,915
123,963
123,982
123,1124
123,1684
123,1744
123,1767
123,1848
123,10592
123,2650
123,2794
123,2850
123,2903
123,10819
123,3327
123,10846
123,3419
123,3426
123,10858
123,3484
123,3487
123,3508
123,3515
123,3761
123,4021
123,4118
123,4192
123,4395
123,4422
123,4744
123,11138
123,11179
123,4961
123,5074
123,5207
123,5398
123,5528
123,6064
123,6318
123,11592
123,6407
123,6760
123,6815
123,6845
123,6928
123,7987
123,8142
123,8152
123,8168
123,8233
123,8326
123,8514
123,8549
123,8669
123,11936
123,12089
123,12090
123,12091
123,9324
124,833
124,3019
124,6773
125,817
125,2003
125,10850
125,3744
125,11993
125,12092
126,10323
126,1799
126,2577
126,3548
126,3686
126,3823
126,4078
126,4554
126,5830
126,7406
126,8347
127,10261
127,5406
127,6867
127,12011
128,258
128,1030
128,1069
128,1852
128,1945
128,2065
128,2066
128,2280
128,2482
128,3041
128,3046
128,3134
128,10799
128,3316
128,3393
128,3404
128,3482
128,3483
128,10866
128,3520
128,10925
128,3859
128,3923
128,3957
128,4010
128,4129
128,4630
128,4803
128,11138
128,11236
128,5071
128,5230
128,5419
128,6095
128,6507
128,6639
128,11726
128,7142
128,7170
128,11817
128,8166
128,12071
128,8805
128,12093
128,11951
128,9099
128,9547
128,9738
128,9759
129,2097
129,2158
129,2999
129,3969
129,4507
129,4589
129,11052
129,8334
129,12094
130,932
130,2770
130,3424
130,3494
130,3688
130,5530
130,8535
131,234
131,712
131,745
131,1614
131,2789
131,2857
131,3299
131,3644
131,3778
131,4074
131,11004
131,4556
131,4638
132,4081
132,8192
133,1439
133,1959
133,3488
134,10279
134,1414
134,1718
134,2103
134,2269
134,10652
134,10692
134,2663
134,3027
134,4025
134,4780
134,6771
134,7447
134,12095
134,9759
135,357
135,388
135,389
135,698
135,876
135,2139
135,3201
135,3277
135,3360
135,3514
135,4237
135,4814
135,5434
135,11475
135,11674
135,7433
135,8990
135,9432
136,2139
136,3922
136,9547
137,583
137,1767
137,2263
137,2281
137,2292
137,2555
137,2556
137,2557
137,2680
137,2783
137,2975
137,3046
137,4088
137,4308
137,5444
137,7651
137,8991
137,11956
137,9669
138,202
138,415
138,2967
138,4592
138,4639
138,7467
138,11794
139,268
139,1246
139,1959
139,2368
139,7697
139,8042
139,9213
140,1620
140,1700
140,1735
140,1800
140,3688
140,5277
140,5796
141,10799
141,4300
141,11469
141,6850
141,11804
141,11919
142,177
142,10295
142,730
142,10546
142,3201
142,6765
143,7683
143,8544
144,1579
145,148
145,178
145,348
145,507
145,532
145,647
145,928
145,967
145,1212
145,1219
145,1443
145,1959
145,2823
145,3377
145,3488
145,3886
145,4194
145,4270
145,11026
145,5327
145,6454
145,7122
145,8003
145,8142
145,12098
145,8836
145,11983
145,9395
145,9777
147,6861
148,2062
148,10799
148,4377
148,6756
148,6850
148,6990
148,11804
148,9529
149,1672
149,1831
150,827
150,3396
150,3869
150,3898
150,4293
150,4459
150,9055
150,9227
150,9309
151,8276
151,9435
152,2020
152,3019
152,3651
152,11632
152,8824
153,1422
153,1569
153,3437
153,3483
153,3839
153,4916
153,12099
153,6890
153,8595
154,4788
155,290
155,995
155,2513
155,10712
155,2650
155,3943
155,4113
155,4267
155,11016
155,4876
155,5037
155,6323
155,6429
155,6584
155,8709
155,9448
155,9738
156,11793
157,6754
158,239
158,10418
158,1212
158,1247
158,1362
158,1559
158,1619
158,1694
158,1712
158,1714
158,2054
158,2170
158,2202
158,2397
158,2467
158,2606
158,2627
158,2636
158,2710
158,2764
158,2842
158,2950
158,3257
158,3488
158,3859
158,10965
158,5169
158,6539
158,11724
158,12101
158,8756
158,9201
158,9223
159,178
