int_id,breast,glia,cervix,colorectal,endometrium,testes,thyroid,kidney,liver,lung,lymph,pancreas,prostate,skin,melanocyte,stomach,urinary,head.and.neck,ovary,norm.carcinoid
0,1.5,2,1.5,1.3333333333333333,1,1.75,2,1,1,1,1.5,2.5,2,1.6666666666666667,1,3,2,1.6666666666666667,0,2
1,1,0.6666666666666666,2.5,3,1,2.75,3,2,2,2,1.5,3,3,1.6666666666666667,2,3,3,2.3333333333333335,0,2.857142857142857
2,0.5,0,1,2,0.25,1.25,2,1,1,2,0,0.5,2,0,0,3,2,1.6666666666666667,0,1.4285714285714286
3,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0.6666666666666666,0.5,2,0.75,1.25,1,1.5,0.5,1,1.5,1,1,0.6666666666666666,0,2,2,0.3333333333333333,1,1.5714285714285714
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1.5,2.3333333333333335,2,2.3333333333333335,2.25,2.75,3,2.5,2,0,2.5,2,2,2.3333333333333335,2,3,3,2.3333333333333335,1,2.1666666666666665
8,0,2,0,0.3333333333333333,0.25,0.75,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
9,2,0.3333333333333333,0.5,2,1,2,1,1.5,2,2,1.5,2,3,0.6666666666666666,1,3,2,2,1,2.2857142857142856
10,0.5,0.3333333333333333,0.5,1,0.25,1.25,1,1,0.5,0,1,0,0,1,1,0.5,0,1,0,0.5714285714285714
11,1.5,2,2.5,2.6666666666666665,1.25,2.25,3,2,2,2,2,3,3,1.3333333333333333,0,3,2,2.6666666666666665,0,2.8
12,1.5,0.6666666666666666,2,3,2.5,2.5,2,3,2,3,2.5,2.5,3,3,3,3,3,3,2,2.857142857142857
13,2.5,2.3333333333333335,2.5,3,2.75,2.75,3,2,1.5,3,3,3,3,3,3,3,2,2.6666666666666665,2,3
14,1,0,1,3,0.75,0,0,0,0,0,0,1.5,0,0.6666666666666666,0,0,1,1.3333333333333333,0,1.7142857142857142
15,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,0.3333333333333333,1.5,2.3333333333333335,2.25,2,3,2.5,1.5,2,1.5,2.5,2,1.6666666666666667,2,3,3,2.6666666666666665,1,2.1666666666666665
17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1,1.3333333333333333,2,1.6666666666666667,2,2,2,2,0,2,0.5,1.5,2,1.3333333333333333,1,2,2,1.6666666666666667,2,1.7142857142857142
19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,0.5,1.3333333333333333,0,0.3333333333333333,0,0.75,1,1,1,0,0,0.5,0,1,0,0,0,0.3333333333333333,0,0.7142857142857143
21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0
