int_id,uniprot_HINT,gene_HINT,alias_HINT,gene_HPA,ensembl_id
0,A0A1W2PQS6,RPS10-NUDT3,HGNC:49181,RPS10-NUDT3,ENSG00000270800
1,A0AUZ9,KANSL1L,HGNC:26310,KANSL1L,ENSG00000144445
2,A0AV96,RBM47,HGNC:30358,RBM47,ENSG00000163694
3,A0AVT1,UBA6,HGNC:25581,UBA6,ENSG00000033178
4,A0FGR8,ESYT2,HGNC:22211,ESYT2,ENSG00000117868
5,A0FGR9,ESYT3,HGNC:24295,ESYT3,ENSG00000158220
6,A0JLT2,MED19,HGNC:29600,MED19,ENSG00000156603
7,A0JNW5,UHRF1BP1L,HGNC:29102,UHRF1BP1L,ENSG00000111647
8,A0MZ66,SHTN1,HGNC:29319,SHTN1,ENSG00000187164
9,A0PK00,TMEM120B,HGNC:32008,TMEM120B,ENSG00000188735
10,A1A5B4,ANO9,HGNC:20679,ANO9,ENSG00000185101
11,A1A5C7,SLC22A23,HGNC:21106,SLC22A23,ENSG00000137266
12,A1A5D9,BICDL2,HGNC:33584,BICDL2,ENSG00000162069
13,A1L0T0,ILVBL,HGNC:6041,ILVBL,ENSG00000105135
14,A1L3X0,ELOVL7,HGNC:26292,ELOVL7,ENSG00000164181
15,A1L429,GAGE12B|GAGE12C|GAGE12D|GAGE12E,HGNC:26779|HGNC:28402|HGNC:31904|HGNC:31905,GAGE12C,ENSG00000237671
15,A1L429,GAGE12B|GAGE12C|GAGE12D|GAGE12E,HGNC:26779|HGNC:28402|HGNC:31904|HGNC:31905,GAGE12D,ENSG00000227488
15,A1L429,GAGE12B|GAGE12C|GAGE12D|GAGE12E,HGNC:26779|HGNC:28402|HGNC:31904|HGNC:31905,GAGE12E,ENSG00000216649
16,A1L4H1,SSC5D,HGNC:26641,SSC5D,ENSG00000179954
17,A1XBS5,FAM92A,HGNC:30452,FAM92A,ENSG00000188343
18,A1Z1Q3,MACROD2,HGNC:16126,MACROD2,ENSG00000172264
19,A2RRD8,ZNF320,HGNC:13842,ZNF320,ENSG00000182986
20,A2RRH5,WDR27,HGNC:21248,WDR27,ENSG00000184465
21,A2RRL7,TMEM213,HGNC:27220,TMEM213,ENSG00000214128
22,A2RRP1,NBAS,HGNC:15625,NBAS,ENSG00000151779
23,A2RTX5,TARSL2,HGNC:24728,TARSL2,ENSG00000185418
24,A2RU14,TMEM218,HGNC:27344,TMEM218,ENSG00000150433
25,A2RU48,SMCO3,HGNC:34401,SMCO3,ENSG00000179256
26,A2RU49,HYKK,HGNC:34403,HYKK,ENSG00000188266
27,A2RUC4,TYW5,HGNC:26754,TYW5,ENSG00000162971
28,A2VCK2,DCDC2B,HGNC:32576,DCDC2B,ENSG00000222046
29,A2VDF0,FUOM,HGNC:24733,FUOM,ENSG00000148803
30,A3KMH1,VWA8,HGNC:29071,VWA8,ENSG00000102763
31,A4D1E9,GTPBP10,HGNC:25106,GTPBP10,ENSG00000105793
32,A4D1P6,WDR91,HGNC:24997,WDR91,ENSG00000105875
33,A4D1U4,LCHN,HGNC:29472,KIAA1147,ENSG00000257093
34,A4D2B0,MBLAC1,HGNC:22180,MBLAC1,ENSG00000214309
35,A4FU01,MTMR11,HGNC:24307,MTMR11,ENSG00000014914
36,A4QPB2,LRP5L,HGNC:25323,LRP5L,ENSG00000100068
37,A4UGR9,XIRP2,HGNC:14303,XIRP2,ENSG00000163092
38,A5D8T8,CLEC18A,HGNC:30388,CLEC18A,ENSG00000157322
39,A5D8V6,VPS37C,HGNC:26097,VPS37C,ENSG00000167987
40,A5D8V7,CCDC151,HGNC:28303,CCDC151,ENSG00000198003
41,A5PKW4,PSD,HGNC:9507,PSD,ENSG00000059915
42,A5PL33,KRBA1,HGNC:22228,KRBA1,ENSG00000133619
43,A5PLL7,TMEM189,HGNC:16735,TMEM189,ENSG00000240849
44,A5YKK6,CNOT1,HGNC:7877,CNOT1,ENSG00000125107
45,A5YM72,CARNS1,HGNC:29268,CARNS1,ENSG00000172508
46,A6BM72,MEGF11,HGNC:29635,MEGF11,ENSG00000157890
47,A6NC98,CCDC88B,HGNC:26757,CCDC88B,ENSG00000168071
48,A6NCF5,KLHL33,HGNC:31952,KLHL33,ENSG00000185271
49,A6NCL1,GMNC,HGNC:40049,GMNC,ENSG00000205835
50,A6NDN3,GOLGA6B,HGNC:32205,GOLGA6B,ENSG00000215186
51,A6NDV4,TMEM8B,HGNC:21427,TMEM8B,ENSG00000137103
52,A6NE52,WDR97,HGNC:26959,WDR97,ENSG00000179698
53,A6NED2,RCCD1,HGNC:30457,RCCD1,ENSG00000166965
54,A6NER0,TBC1D3F,HGNC:18257,TBC1D3F,ENSG00000275954
55,A6NGB9,WIPF3,HGNC:22004,WIPF3,ENSG00000122574
56,A6NI79,CCDC69,HGNC:24487,CCDC69,ENSG00000198624
57,A6NJ69,IGIP,HGNC:33847,IGIP,ENSG00000182700
58,A6NK44,GLOD5,HGNC:33358,GLOD5,ENSG00000171433
59,A6NK53,ZNF233,HGNC:30946,ZNF233,ENSG00000159915
60,A6NKD9,CCDC85C,HGNC:35459,CCDC85C,ENSG00000205476
61,A6NLU0,RFPL4A,HGNC:16449,RFPL4A,ENSG00000223638
62,A6PVS8,LRRIQ3,HGNC:28318,LRRIQ3,ENSG00000162620
63,A7E2V4,ZSWIM8,HGNC:23528,ZSWIM8,ENSG00000214655
64,A7KAX9,ARHGAP32,HGNC:17399,ARHGAP32,ENSG00000134909
65,A7MCY6,TBKBP1,HGNC:30140,TBKBP1,ENSG00000198933
66,A7MD48,SRRM4,HGNC:29389,SRRM4,ENSG00000139767
67,A7XYQ1,SOBP,HGNC:29256,SOBP,ENSG00000112320
68,A8CG34,POM121C,HGNC:34005,POM121C,ENSG00000272391
69,A8K0R7,ZNF839,HGNC:20345,ZNF839,ENSG00000022976
70,A8K0Z3,WASHC1,HGNC:24361,WASHC1,ENSG00000181404
71,A8MQ03,CYSRT1,HGNC:30529,CYSRT1,ENSG00000197191
72,A8MTZ0,BBIP1,HGNC:28093,BBIP1,ENSG00000214413
73,A8MVW0,FAM171A2,HGNC:30480,FAM171A2,ENSG00000161682
74,A8MW92,PHF20L1,HGNC:24280,PHF20L1,ENSG00000129292
75,A8MZ97,C2ORF74,HGNC:34439,C2orf74,ENSG00000237651
76,A9UHW6,MIF4GD,HGNC:24030,MIF4GD,ENSG00000125457
77,B2RD01,CENPBD1,HGNC:28272,CENPBD1,ENSG00000177946
78,B2RTY4,MYO9A,HGNC:7608,MYO9A,ENSG00000066933
79,B2RUY7,VWC2L,HGNC:37203,VWC2L,ENSG00000174453
80,B2RXH2,KDM4E,HGNC:37098,KDM4E,ENSG00000235268
81,B5ME19,EIF3CL,HGNC:26347,EIF3CL,ENSG00000205609
82,C9J442,C22ORF46,HGNC:26294,C22orf46,ENSG00000184208
83,D6RGH6,MCIDAS,HGNC:40050,MCIDAS,ENSG00000234602
84,E7ETH6,ZNF587B,HGNC:37142,ZNF587B,ENSG00000269343
85,E9PJI5,NPIPA7,HGNC:41982,NPIPA7,ENSG00000214967
86,H3BR10,SMLR1,HGNC:44670,SMLR1,ENSG00000256162
87,O00115,DNASE2,HGNC:2960,DNASE2,ENSG00000105612
88,O00116,AGPS,HGNC:327,AGPS,ENSG00000018510
89,O00124,UBXN8,HGNC:30307,UBXN8,ENSG00000104691
90,O00139,KIF2A,HGNC:6318,KIF2A,ENSG00000068796
91,O00141,SGK1,HGNC:10810,SGK1,ENSG00000118515
92,O00148,DDX39A,HGNC:17821,DDX39A,ENSG00000123136
93,O00151,PDLIM1,HGNC:2067,PDLIM1,ENSG00000107438
94,O00154,ACOT7,HGNC:24157,ACOT7,ENSG00000097021
95,O00159,MYO1C,HGNC:7597,MYO1C,ENSG00000197879
96,O00160,MYO1F,HGNC:7600,MYO1F,ENSG00000142347
97,O00161,SNAP23,HGNC:11131,SNAP23,ENSG00000092531
98,O00165,HAX1,HGNC:16915,HAX1,ENSG00000143575
99,O00167,EYA2,HGNC:3520,EYA2,ENSG00000064655
100,O00170,AIP,HGNC:358,AIP,ENSG00000110711
101,O00180,KCNK1,HGNC:6272,KCNK1,ENSG00000135750
102,O00182,LGALS9,HGNC:6570,LGALS9,ENSG00000168961
103,O00186,STXBP3,HGNC:11446,STXBP3,ENSG00000116266
104,O00187,MASP2,HGNC:6902,MASP2,ENSG00000009724
105,O00189,AP4M1,HGNC:574,AP4M1,ENSG00000221838
106,O00192,ARVCF,HGNC:728,ARVCF,ENSG00000099889
107,O00193,SMAP,HGNC:16990,C11orf58,ENSG00000110696
108,O00194,RAB27B,HGNC:9767,RAB27B,ENSG00000041353
109,O00198,HRK,HGNC:5185,HRK,ENSG00000135116
110,O00203,AP3B1,HGNC:566,AP3B1,ENSG00000132842
111,O00204,SULT2B1,HGNC:11459,SULT2B1,ENSG00000088002
112,O00206,TLR4,HGNC:11850,TLR4,ENSG00000136869
113,O00213,APBB1,HGNC:581,APBB1,ENSG00000166313
114,O00214,LGALS8,HGNC:6569,LGALS8,ENSG00000116977
115,O00217,NDUFS8,HGNC:7715,NDUFS8,ENSG00000110717
116,O00220,TNFRSF10A,HGNC:11904,TNFRSF10A,ENSG00000104689
117,O00221,NFKBIE,HGNC:7799,NFKBIE,ENSG00000146232
118,O00222,GRM8,HGNC:4600,GRM8,ENSG00000179603
119,O00231,PSMD11,HGNC:9556,PSMD11,ENSG00000108671
120,O00232,PSMD12,HGNC:9557,PSMD12,ENSG00000197170
121,O00233,PSMD9,HGNC:9567,PSMD9,ENSG00000110801
122,O00237,RNF103,HGNC:12859,RNF103,ENSG00000239305
