gene,gene.name,breast_cancer,carcinoid,cervical_cancer,colorectal_cancer,endometrial_cancer,glioma,head_and_neck_cancer,liver_cancer,lung_cancer,lymphoma,melanoma,ovarian_cancer,pancreatic_cancer,prostate_cancer,renal_cancer,skin_cancer,stomach_cancer,testis_cancer,thyroid_cancer,urothelial_cancer
ENSG00000000003,TSPAN6,1.5833333333333335,0.75,2.9166666666666665,1.4,2.8333333333333335,0,1.75,2.3,2.6666666666666665,0,0.3333333333333333,2.727272727272727,2.9166666666666665,2.454545454545454,1.25,2.8181818181818183,2.9166666666666665,0.25,0.5,2.333333333333333
ENSG00000000005,TNMD,1.1666666666666667,0.3333333333333333,0.75,2.083333333333333,1.4545454545454546,0.5454545454545454,0.6666666666666666,1.9166666666666665,0.6363636363636364,1.8333333333333333,1.4545454545454546,1.2000000000000002,1.5,0.7272727272727273,0.6363636363636364,1.25,1.1666666666666667,1.5833333333333335,1.75,1
ENSG00000000419,DPM1,2,2,1.1818181818181819,2.272727272727273,1.5833333333333335,1.5454545454545454,2,2.1818181818181817,1.0833333333333335,1.5,1.5833333333333335,1.8333333333333333,2,1.9166666666666665,1.8333333333333335,1.3333333333333335,1.6363636363636365,2.1818181818181817,2.5,1.75
ENSG00000000457,SCYL3,0.75,0.75,0.6363636363636364,0.3,0.9090909090909091,0.2727272727272727,1.25,0.5454545454545454,0.1111111111111111,0,0.5,0.6363636363636364,0.3333333333333333,0.5,0.5454545454545454,0.30000000000000004,0.18181818181818182,1.8333333333333333,0.5,0.6666666666666666
ENSG00000000460,C1orf112,1.6666666666666665,1.5,2,0.25,0.5454545454545454,1.6666666666666665,2,1.7777777777777777,1,0.16666666666666666,1.5,1.3333333333333333,1,0.8181818181818181,1.3636363636363635,1.9166666666666665,0.4545454545454546,1,1.75,1.75
ENSG00000000938,FGR,1.0833333333333333,1.6666666666666665,1,1.2727272727272727,0.9090909090909091,0.1111111111111111,1,1.1111111111111112,0.9090909090909091,1,1,0.6,1.1111111111111112,1.0909090909090908,1.1,0.5555555555555556,1.0833333333333333,1,1.5,1
ENSG00000000971,CFH,0,0,0,0.08333333333333333,0,0,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0.2,0,0
ENSG00000001036,FUCA2,0.8181818181818181,1.75,1,1.6666666666666667,2.083333333333333,0.45454545454545453,0.75,1.6363636363636362,1.25,0,1.2727272727272727,1.75,1.4545454545454546,2.5833333333333335,0.8333333333333334,0.16666666666666666,1.4545454545454546,0.6666666666666666,2.75,1.2727272727272727
ENSG00000001084,GCLC,2.416666666666667,2.5,1.6666666666666667,2,2,1.4,1.75,2.6666666666666665,1.727272727272727,1.1818181818181817,2,2,2.2,2.1818181818181817,1.6666666666666665,1.0833333333333335,2.090909090909091,2,3,1.6363636363636362
ENSG00000001167,NFYA,2,1.25,2.1818181818181817,2.083333333333333,2.1,2,2.333333333333333,1.5833333333333333,1.9090909090909092,2,1.8888888888888888,2.4,2,2,1.8181818181818183,2,2,2,2,2.083333333333333
