HGNC ID	Approved symbol	Approved name	Ensembl gene ID	UniProt accession
HGNC:5	A1BG	alpha-1-B glycoprotein	ENSG00000121410	P04217
HGNC:24086	A1CF	APOBEC1 complementation factor	ENSG00000148584	Q9NQ94
HGNC:7	A2M	alpha-2-macroglobulin	ENSG00000175899	P01023
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	ENSG00000166535	A8K2U0
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	ENSG00000118017	Q9UNA3
HGNC:13666	AAAS	aladin WD repeat nucleoporin	ENSG00000094914	Q9NRG9
HGNC:21298	AACS	acetoacetyl-CoA synthetase	ENSG00000081760	Q86V21
HGNC:17	AADAC	arylacetamide deacetylase	ENSG00000114771	P22760
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	ENSG00000204518	Q5VUY2
HGNC:17929	AADAT	aminoadipate aminotransferase	ENSG00000109576	Q8N5Z0
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	ENSG00000103591	Q6PD74
HGNC:19679	AAK1	AP2 associated kinase 1	ENSG00000115977	Q2M2I8
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	ENSG00000087884	Q9H7C9
HGNC:18	AAMP	angio associated migratory cell protein	ENSG00000127837	Q13685
HGNC:15886	AAR2	AAR2 splicing factor	ENSG00000131043	Q9Y312
HGNC:20	AARS	alanyl-tRNA synthetase	ENSG00000090861	P49588
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	ENSG00000124608	Q5JTZ9
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	ENSG00000266967	Q9BTE6
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	ENSG00000157426	Q4L235
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	ENSG00000149313	Q9NRN7
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	ENSG00000008311	Q9UDR5
HGNC:19235	AATF	apoptosis antagonizing transcription factor	ENSG00000275700	Q9NY61
HGNC:21	AATK	apoptosis associated tyrosine kinase	ENSG00000181409	Q6ZMQ8
HGNC:23	ABAT	4-aminobutyrate aminotransferase	ENSG00000183044	P80404
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	ENSG00000165029	O95477
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	ENSG00000107331	Q9BZC7
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	ENSG00000167972	Q99758
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	ENSG00000154265	Q8WWZ7
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	ENSG00000064687	Q8IZY2
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	ENSG00000141338	O94911
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	ENSG00000154258	Q8IUA7
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	ENSG00000154263	Q8WWZ4
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	ENSG00000085563	P08183
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	ENSG00000005471	P21439
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	ENSG00000004846	Q2M3G0
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	ENSG00000115657	Q9NP58
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	ENSG00000131269	O75027
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	ENSG00000197150	Q9NUT2
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	ENSG00000150967	Q9NP78
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	ENSG00000135776	Q9NRK6
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	ENSG00000073734	O95342
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	ENSG00000103222	P33527
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	ENSG00000023839	Q92887
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	ENSG00000108846	O15438
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	ENSG00000125257	O15439
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	ENSG00000114770	O15440
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	ENSG00000006071	Q09428
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	ENSG00000069431	O60706
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	ENSG00000124574	Q5T3U5
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	ENSG00000121270	Q96J66
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	ENSG00000140798	Q96J65
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	ENSG00000117528	P28288
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	ENSG00000119688	O14678
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	ENSG00000164163	P61221
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	ENSG00000204574	Q8NE71
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	ENSG00000033050	Q9UG63
